nombreEscuela,seccionEscuela
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TT
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TM
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TT
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TM
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TT
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°1° TM
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°2° TM
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°3° TT
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°4° TT
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°5° TM
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°6° TT
Esc. de Comercio Nº 33 DE 18 Maipú,5°1° TM
Esc. de Comercio Nº 33 DE 18 Maipú,5°1° TT
Esc. de Comercio Nº 33 DE 18 Maipú,5°2° TM
Esc. de Comercio Nº 33 DE 18 Maipú,5°2° TT
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°1° TM
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°1° TT
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°2° TM
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°2° TT
