nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TT,Economía y Administración,18
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°2° TM,Economía y Administración,18
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°3° TV/TN,Cs. Soc y Humanidades,
Esc. de Comercio Nº 26 DE 01 Enrique de Vedia,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 29 DE 07 Marina Mercante Argentina,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TM,Economía y Administración,22
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TT,Economía y Administración,14
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TT,Economía y Administración,17
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TM,Economía y Administración,21
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TT,Economía y Administración,15
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TM,Economía y Administración,28
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TT,Economía y Administración,22
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TM,Informática,29
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TT,Informática,12
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°1° TM,Economía y Administración,26
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°2° TM,Economía y Administración,24
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°3° TT,Economía y Administración,21
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°4° TT,Economía y Administración,16
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°5° TM,Economía y Administración,25
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°6° TT,Economía y Administración,20
Esc. de Comercio Nº 33 DE 18 Maipú,5°1° TM,Economía y Administración,26
Esc. de Comercio Nº 33 DE 18 Maipú,5°1° TT,Economía y Administración,17
Esc. de Comercio Nº 33 DE 18 Maipú,5°2° TM,Economía y Administración,24
Esc. de Comercio Nº 33 DE 18 Maipú,5°2° TT,Economía y Administración,17
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°1° TM,Economía y Administración,22
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°1° TT,Economía y Administración,20
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°2° TM,Economía y Administración,24
Esc. de Comercio Nº 34 DE 03 Monseñor Miguel De Andrea,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 35 DE 21 Leopoldo Marechal,5°1° TM,Economía y Administración,37
Esc. de Comercio Nº 35 DE 21 Leopoldo Marechal,5°2° TM,Economía y Administración,31
Esc. de Comercio Nº 35 DE 21 Leopoldo Marechal,5°3° TT,Economía y Administración,21
Esc. de Comercio Nº 35 DE 21 Leopoldo Marechal,5°4° TT,Economía y Administración,23
Esc. de Comercio Nº 35 DE 21 Leopoldo Marechal,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 36 DE 03 Isaac Halperin,PLAN 5810,PLAN 5810/19,
Esc. de Educación Media Nº 01 DE 07 Julieta Lanteri,5°1° TM,Comunicación,17
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°1° TM,Comunicación,26
